a17	ba02	be20
5	有	否
5	有	否
4	没有	否
3	没有	否
5	没有	否
4	没有	否
4	有	否
5	有	否
5	有	否
5	有	否
5	有	否
2	有	否
3	有	否
5	没有	否
4	有	否
1	没有	否
4	有	否
5	没有	否
3	没有	否
5	有	否
5	没有	否
4	没有	否
5	没有	否
4	有	否
4	有	否
5	没有	否
5	没有	否
2	有	是
5	有	否
3	有	否
5	没有	否
5	没有	否
4	没有	否
4	有	否
3	没有	否
5	有	否
5	有	否
3	没有	否
4	有	否
5	没有	否
5	有	否
4	没有	否
5	没有	否
4	没有	否
5	有	否
2	没有	否
4	有	否
5	有	否
5	有	否
3	有	否
4	没有	否
4	没有	否
5	没有	否
5	有	否
3	有	否
5	没有	否
5	有	否
5	没有	否
4	有	否
4	没有	否
5	有	否
5	没有	否
4	没有	否
5	有	否
3	有	否
5	有	否
3	有	否
3	没有	否
5	没有	否
5	没有	否
4	有	否
4	有	否
5	没有	否
4	有	是
5	有	否
5	没有	否
3	有	否
5	有	否
5	有	否
4	没有	是
5	有	否
5	没有	否
2	有	否
5	有	否
4	没有	否
5	没有	否
3	没有	否
5	没有	否
5	有	否
4	有	否
4	有	否
5	没有	否
4	有	否
4	有	否
4	没有	否
5	有	否
5	有	否
4	没有	否
5	有	否
4	没有	否
5	没有	否
3	没有	否
4	没有	否
4	有	否
5	没有	否
5	没有	否
3	有	否
5	没有	否
3	没有	否
3	没有	否
5	没有	否
5	没有	否
4	没有	否
5	没有	否
2	没有	否
5	没有	否
5	有	是
5	没有	否
5	没有	否
5	没有	否
5	没有	否
4	没有	否
3	有	是
5	没有	否
5	没有	否
3	没有	是
4	有	否
4	没有	否
5	有	否
3	没有	否
4	没有	否
5	没有	否
4	有	否
4	没有	否
5	没有	否
5	没有	否
3	没有	否
5	没有	否
5	有	否
5	有	否
5	有	是
4	没有	否
5	没有	否
3	没有	否
3	没有	否
1	没有	否
4	没有	否
1	没有	否
5	没有	否
5	没有	是
3	没有	否
3	没有	否
5	没有	否
4	没有	否
4	有	否
4	没有	否
5	没有	否
5	没有	否
5	没有	否
5	有	否
5	有	否
5	没有	否
5	有	否
3	有	否
4	没有	否
5	没有	否
4	有	否
5	没有	否
4	没有	否
4	没有	否
5	没有	否
5	有	否
4	有	否
5	没有	否
5	没有	否
4	有	否
4	没有	否
5	没有	否
3	没有	否
3	没有	否
5	没有	否
4	没有	否
5	有	否
4	没有	否
3	没有	否
4	没有	否
3	有	否
3	没有	否
4	有	否
4	有	否
